,label,name,party,wahlkreis,x,y,digital,familie,demokratie,natur,arbeit
110,dr-claudia-lucking-michel,Dr. Claudia Lücking-Michel,CDU,Bonn,248.56061,-786.3986,0.024572470294763456,0.06060801818324224,0.03270334319409818,0.01271116887425582,0.010502544166444227
111,maximilian-funke-kaiser,Maximilian Funke-Kaiser,FDP,Augsburg-Stadt,-655.8902,-62.04827,0.027500540980367347,0.0,0.08851095430609962,0.0,0.00246008345377782
112,britta-haselmann,Britta Haßelmann,DIE GRÜNEN,Bielefeld - Gütersloh II,431.29745,-272.9391,0.008445132732129575,0.08920411890157998,0.059835129423808676,0.14994625365650474,0.04421798719649655
113,irmgard-freihoffer,M.A. Irmgard Freihoffer,DIE LINKE,Regensburg,-424.2633,437.9822,0.0077955173659151845,0.00808426329194251,0.062404814911694174,0.04163621594220867,0.09903734472246302
114,sabine-martiny,Sabine Martiny,PIRATEN,Paderborn - Gütersloh III,-536.32654,-337.22452,0.05838437325599779,0.05638319757099844,0.06138754451357702,0.0,0.0
115,gabriela-heinrich,Gabriela Heinrich,SPD,Nürnberg-Nord,1212.0911,-56.843815,0.021476481649648733,0.16575969614560526,0.015392107308144862,0.023969957912412056,0.13216773005924498
116,christel-hopf,Christel Hopf,PIRATEN,Duisburg I,-193.80093,-134.918,0.0,0.0,0.03100986287739776,0.0,0.0
117,eckhard-kneisel,Eckhard Kneisel,DIE GRÜNEN,Hamm - Unna II,-148.26945,511.5678,0.0,0.013386385116753972,0.03276906065980849,0.0524409839999822,0.020112288591407658
118,ulrich-wolfgang-kelber,Ulrich Kelber,SPD,Bonn,296.8462,-728.72235,0.014165979892674919,0.04994245586364647,0.02291864146835848,0.011571394347236669,0.012420923410888064
119,julia-verlinden,Dr. Julia Verlinden,DIE GRÜNEN,Lüchow-Dannenberg - Lüneburg,564.21844,-211.55171,0.0,0.0,0.0,0.21242530859476866,0.0
120,katharina-ziolkowski,Dr. Katharina Ziolkowski,FDP,Berlin-Mitte,-728.652,-489.41635,0.07478007873014153,0.07714980469122469,0.07799604891528482,0.010827470643959142,0.012704134219740072
121,volker-holzendorf,Volker Holzendorf,DIE GRÜNEN,Leipzig I,248.32635,-163.34755,0.037999856067339535,0.0,0.01365444098127385,0.06475631609331521,0.002390582510517847
122,carsten-schneider,Carsten Schneider,SPD,Erfurt - Weimar - Weimarer Land II,920.4394,-45.21353,0.019739447146939808,0.09554594575651253,0.02852766384040342,0.006639143640359821,0.06821030117823247
123,konrad-maier,Konrad Maier,Parteilos,Märkischer Kreis II,-895.85406,280.03482,0.002140122242636645,0.037953557720589184,0.08839153667761593,0.021785577970940745,0.04277236357099976
124,kenneth-kooter,Kenneth Kooter,FDP,Deggendorf,-726.79614,86.28532,0.017946387939033377,0.0072229470990907395,0.06072184383107679,0.0,0.024363565503986856
125,brigitte-muller,Brigitte Müller,DKP,Oberhavel - Havelland II,945.6974,-133.24138,0.0,0.19201498209148046,0.00397731095093898,0.0,0.00920573860741342
126,prof-dr-iur-heribert-hirte,Prof. Dr. Heribert Hirte,CDU,Köln II,-801.64874,-76.06835,0.013355598189621235,0.07133560646148839,0.05928189851131821,0.0,0.0035974985810913705
127,sebastian-hartmann,Sebastian Hartmann,SPD,Rhein-Sieg-Kreis I,717.66595,-248.88963,0.02954325721738477,0.12518495006773864,0.0,0.08166238069641382,0.05049828117716335
128,horst-engler-hamm,Dr. Horst Engler-Hamm,FREIE WÄHLER,München-Nord,1166.1459,421.51166,0.0,0.0,0.010057768342506409,0.0,0.12056877213540075
